co2TailpipeGpm,cylinders,displ,drive,feScore,fuelType,make,UCity,UHighway,VClass,year,startStop,lv4,pv4,am
382,6,3.5,Rear-Wheel Drive,6,Premium,Mercedes-Benz,25.1823,40.2332,Compact Cars,2013,Y,12,88,A
578,8,6.2,Rear-Wheel Drive,3,Premium,Mercedes-Benz,16.265,26.6604,Compact Cars,2013,N,12,88,A
382,6,3.5,Rear-Wheel Drive,6,Premium,Mercedes-Benz,24.7909,41.8822,Midsize Cars,2013,N,13,98,A
398,6,3.5,All-Wheel Drive,5,Premium,Mercedes-Benz,23.7948,39.979,Midsize Cars,2013,N,13,98,A
346,4,2,Front-Wheel Drive,7,Regular,Ford,28.3,44.4,Large Cars,2013,N,20,102,A
405,6,3.8,Rear-Wheel Drive,5,Regular,Hyundai,23.5,40.1,Large Cars,2013,N,16,109,A
495,8,5,Rear-Wheel Drive,4,Premium,Hyundai,19.9,34,Large Cars,2013,N,16,109,A
628,8,4.7,Rear-Wheel Drive,2,Premium,Maserati,14.5278,25.4659,Large Cars,2013,N,8,121,A
414,6,3.5,Rear-Wheel Drive,5,Premium,Mercedes-Benz,23.4385,35.0216,Large Cars,2013,Y,16,109,A
625,12,5.5,Rear-Wheel Drive,2,Premium,Mercedes-Benz,14.6319,25.5737,Large Cars,2013,N,16,109,A
614,12,6,Rear-Wheel Drive,2,Premium,Mercedes-Benz,14.9911,25.8793,Large Cars,2013,N,16,109,A
364,6,3,Rear-Wheel Drive,6,Premium,Porsche,30.4,40.9,Large Cars,2013,Y,25,98,A
637,12,6.7,Rear-Wheel Drive,2,Premium,Rolls-Royce,13.9,25.3,Large Cars,2013,N,14,113,A
637,12,6.7,Rear-Wheel Drive,2,Premium,Rolls-Royce,13.9,25.3,Large Cars,2013,N,14,125,A
458,6,3,Rear-Wheel Drive,4,Premium,BMW,21.1097,32.8224,Subcompact Cars,2013,N,9,84,A
426,6,3,Rear-Wheel Drive,5,Premium,BMW,22.285,36.7711,Subcompact Cars,2013,N,9,84,M
414,6,3,Rear-Wheel Drive,5,Premium,BMW,22.8439,38.2171,Subcompact Cars,2013,N,9,84,A
403,6,3,Rear-Wheel Drive,5,Premium,BMW,23.71,38.8255,Subcompact Cars,2013,N,9,84,M
341,4,2,Rear-Wheel Drive,7,Premium,BMW,29.8109,50.2787,Compact Cars,2013,N,13,96,A
336,4,2,Rear-Wheel Drive,7,Premium,BMW,28.3664,48.0364,Compact Cars,2013,N,13,96,M
321,4,2,All-Wheel Drive,7,Premium,BMW,28.5657,46.3298,Compact Cars,2013,N,13,96,A
385,6,3,Rear-Wheel Drive,6,Premium,BMW,24.6179,41.6564,Compact Cars,2013,N,13,96,M
377,6,3,All-Wheel Drive,6,Premium,BMW,25.3925,42.4357,Compact Cars,2013,N,13,96,A
373,6,3,All-Wheel Drive,6,Premium,BMW,24.8192,39.0903,Compact Cars,2013,N,13,96,M
458,6,3,Rear-Wheel Drive,4,Premium,BMW,21.1097,32.8224,Subcompact Cars,2013,N,11,89,A
426,6,3,Rear-Wheel Drive,5,Premium,BMW,22.285,36.7711,Subcompact Cars,2013,N,11,89,M
290,4,2,Front-Wheel Drive,8,Regular,Ford,34.6148,53.3066,Compact Cars,2013,N,13,90,A
290,4,2,Front-Wheel Drive,8,Regular,Ford,34.6162,53.3103,Compact Cars,2013,N,13,90,A
300,4,2,Front-Wheel Drive,8,Regular,Ford,33.5,50.4,Compact Cars,2013,N,13,90,M
337,4,2,Front-Wheel Drive,7,Regular,Ford,29.5,44.9,Compact Cars,2013,N,13,90,M
287,4,2,Front-Wheel Drive,8,Gasoline or E85,Ford,34.75,53.9223,Compact Cars,2013,Y,13,90,A
287,4,2,Front-Wheel Drive,8,Gasoline or E85,Ford,34.7522,53.9254,Compact Cars,2013,N,13,90,A
300,4,2,Front-Wheel Drive,8,Gasoline or E85,Ford,33.4,50.5,Compact Cars,2013,N,13,90,M
273,4,2,Front-Wheel Drive,8,Gasoline or E85,Ford,36.4,57.6,Compact Cars,2013,N,13,90,A
288,4,2,Front-Wheel Drive,8,Regular,Mazda,34.2746,55.1009,Compact Cars,2013,N,12,94,M
273,4,2,Front-Wheel Drive,8,Regular,Mazda,36.7232,57.2346,Compact Cars,2013,Y,12,94,A
309,4,2,Front-Wheel Drive,7,Regular,Mazda,32.4,46.9,Compact Cars,2013,N,12,94,M
322,4,2,Front-Wheel Drive,7,Regular,Mazda,30.2,46.7,Compact Cars,2013,N,12,94,A
375,4,2.5,Front-Wheel Drive,6,Regular,Mazda,25.6,39.6,Compact Cars,2013,N,12,94,M
353,4,2.5,Front-Wheel Drive,6,Regular,Mazda,28.3,40.4,Compact Cars,2013,N,12,94,A
378,6,3.5,Rear-Wheel Drive,6,Premium,Mercedes-Benz,25.7882,40.4148,Compact Cars,2013,N,12,88,A
403,6,3.5,All-Wheel Drive,5,Premium or E85,Mercedes-Benz,24.3638,37.0272,Compact Cars,2013,Y,12,88,A
318,4,1.6,Front-Wheel Drive,7,Premium,MINI,32.4,45.3,Compact Cars,2013,N,16,87,A
309,4,1.6,Front-Wheel Drive,8,Premium,MINI,33.9,45.5,Compact Cars,2013,N,16,87,M
339,4,1.6,All-Wheel Drive,7,Premium,MINI,29.9662,42.782,Compact Cars,2013,Y,16,87,A
325,4,1.6,All-Wheel Drive,7,Premium,MINI,32.0267,43.5575,Compact Cars,2013,Y,16,87,M
318,4,1.6,Front-Wheel Drive,7,Premium,MINI,32.4,45.3,Compact Cars,2013,Y,16,87,A
339,4,1.6,All-Wheel Drive,7,Premium,MINI,29.9662,42.782,Compact Cars,2013,N,16,87,A
325,4,1.6,All-Wheel Drive,7,Premium,MINI,32.0267,43.5575,Compact Cars,2013,N,16,87,M
314,4,2,Front-Wheel Drive,7,Regular,Mitsubishi,31.517,48.1793,Compact Cars,2013,N,12,93,M
307,4,2,Front-Wheel Drive,8,Regular,Mitsubishi,32.9655,48.0338,Compact Cars,2013,N,12,93,A
346,4,2.4,Front-Wheel Drive,7,Regular,Mitsubishi,28.6242,43.5672,Compact Cars,2013,N,12,93,M
344,4,2.4,Front-Wheel Drive,7,Regular,Mitsubishi,29.31,42.3785,Compact Cars,2013,N,12,93,A
437,4,2,All-Wheel Drive,5,Premium,Mitsubishi,21.9609,34.8367,Compact Cars,2013,N,12,93,A
358,4,2.4,All-Wheel Drive,6,Regular,Mitsubishi,28.3921,40.026,Compact Cars,2013,N,12,93,A
464,4,2,All-Wheel Drive,4,Premium,Mitsubishi,20.9881,31.8423,Compact Cars,2013,N,7,93,M
470,4,2,All-Wheel Drive,4,Premium,Mitsubishi,20.7103,31.0983,Compact Cars,2013,N,7,93,A
307,4,1.8,Front-Wheel Drive,8,Regular,Toyota,33.2973,47.8533,Compact Cars,2013,N,12,92,A
297,4,1.8,Front-Wheel Drive,8,Regular,Toyota,35.0274,48.4091,Compact Cars,2013,N,12,92,M
440,8,4,All-Wheel Drive,5,Premium,Audi,20.7539,35.335,Midsize Cars,2013,N,16,98,A
323,4,2,Rear-Wheel Drive,7,Premium,BMW,30.3633,48.3031,Midsize Cars,2013,N,14,102,A
321,4,2,All-Wheel Drive,7,Premium,BMW,28.5657,46.3298,Midsize Cars,2013,Y,14,102,A
374,6,3,Rear-Wheel Drive,6,Premium,BMW,25.6124,42.4092,Midsize Cars,2013,N,14,102,A
385,6,3,Rear-Wheel Drive,6,Premium,BMW,24.6179,41.6564,Midsize Cars,2013,N,14,102,M
368,6,3,All-Wheel Drive,6,Premium,BMW,26.4998,41.6853,Midsize Cars,2013,N,14,102,A
453,8,4.4,Rear-Wheel Drive,5,Premium,BMW,20.6674,35.2533,Midsize Cars,2013,N,14,102,A
511,8,4.4,Rear-Wheel Drive,4,Premium,BMW,18.1231,30.9483,Midsize Cars,2013,N,14,102,M
338,4,2.5,Front-Wheel Drive,7,Regular,Chevrolet,28.3405,48.1809,Midsize Cars,2013,Y,16,95,A
